ID	Class	Min_RGB_9_2_19_R	Min_RGB_9_2_19_G	Min_RGB_9_2_19_B	1stQu_RGB_9_2_19_R	1stQu_RGB_9_2_19_G	1stQu_RGB_9_2_19_B	Median_RGB_9_2_19_R	Median_RGB_9_2_19_G	Median_RGB_9_2_19_B	Mean_RGB_9_2_19_R	Mean_RGB_9_2_19_G	Mean_RGB_9_2_19_B	3rdQu_RGB_9_2_19_R	3rdQu_RGB_9_2_19_G	3rdQu_RGB_9_2_19_B	Max_RGB_9_2_19_R	Max_RGB_9_2_19_G	Max_RGB_9_2_19_B	sd_RGB_9_2_19_R	sd_RGB_9_2_19_G	sd_RGB_9_2_19_B
EL19_6508	11723.6	40	36	19	82.0	87.0	54.25	101.0	122.0	71.0	105.634920634921	121.92857142857099	75.69841269841271	127.0	151.5	91.75	185	229	154	35.5017978529771	42.483536306937296	29.720637904666802
EL19_5793	16119.18	27	30	27	52.0	60.5	53.0	69.0	80.5	66.5	71.6785714285714	82.9357142857143	69.2571428571429	86.25	99.5	82.0	177	199	171	25.373545351406804	30.7070658834344	23.505202677898502
EL19_6248	16590.96	36	30	16	69.0	77.25	43.0	90.5	104.0	62.0	100.578571428571	109.442857142857	70.5714285714286	125.0	139.75	90.5	234	225	205	41.3540717432161	42.84357887444529	36.6166496817462
EL19_5605	11112.9	0	0	0	103.0	108.75	72.0	141.0	151.5	112.0	134.65	140.95	106.607142857143	169.5	180.25	142.0	226	239	201	50.7680470799946	54.0025745456081	46.215120455154896
EL19_6405	10373.28	65	51	34	102.75	94.0	73.75	127.5	126.0	98.0	130.392857142857	128.871428571429	100.842857142857	156.25	161.25	126.5	253	255	238	38.0873090947649	41.301635283378204	35.3903761719335
EL19_5588	15686.88	70	63	35	108.75	109.0	69.0	138.5	153.5	94.5	140.507142857143	151.042857142857	97.77857142857141	169.0	187.25	124.25	237	248	183	39.6788359274183	47.710287479183705	36.629599985077704
EL19_6390	18255.45	55	49	24	87.0	98.0	56.0	116.0	126.0	81.0	116.007194244604	129.187050359712	83.58273381294958	136.5	161.0	102.5	226	242	195	36.2740168122291	45.7456053714648	33.8138337355053
EL19_5102	9139.02	49	50	36	86.0	98.0	67.0	104.0	123.0	86.0	108.574803149606	124.740157480315	89.27559055118108	131.5	146.0	107.0	188	214	164	34.3655696293981	37.756154254664104	30.0474960437253
EL19_6788	16236.99	19	31	15	63.0	80.0	49.5	79.0	103.0	66.5	90.4071428571429	111.692857142857	74.52857142857141	114.0	142.5	96.0	198	224	162	40.7303638400223	46.7871187506416	36.6708954551708
EL19_5344	13987.52	35	38	35	62.0	73.75	66.0	79.5	92.5	82.0	82.4357142857143	95.77857142857141	84.45714285714291	97.25	113.25	95.25	167	199	173	26.9663287819335	32.0029377826705	25.785047094168895
